	(1)
VARIABLES	lfpr
	
1.agecat	0.81***
	(0.17)
2.agecat	-0.61***
	(0.19)
housenum	-0.00
	(0.01)
c.housenum#c.housenum	0.00
	(0.00)
0b.gapcat2#0b.agecat#1b.educ#0b.lowincome	0.00
	(0.00)
0b.gapcat2#0b.agecat#1b.educ#1.lowincome	0.87*
	(0.51)
0b.gapcat2#0b.agecat#2.educ#0b.lowincome	0.31***
	(0.06)
0b.gapcat2#0b.agecat#2.educ#1.lowincome	0.54
	(0.51)
0b.gapcat2#0b.agecat#3.educ#0b.lowincome	0.91***
	(0.10)
0b.gapcat2#0b.agecat#3.educ#1.lowincome	0.62
	(0.60)
0b.gapcat2#1o.agecat#1b.educ#0b.lowincome	0.00
	(0.00)
0b.gapcat2#1.agecat#1b.educ#1.lowincome	0.55
	(0.51)
0b.gapcat2#1.agecat#2.educ#0b.lowincome	0.17***
	(0.04)
0b.gapcat2#1.agecat#2.educ#1.lowincome	0.61
	(0.51)
0b.gapcat2#1.agecat#3.educ#0b.lowincome	0.40***
	(0.05)
0b.gapcat2#1.agecat#3.educ#1.lowincome	1.07**
	(0.53)
0b.gapcat2#2o.agecat#1b.educ#0b.lowincome	0.00
	(0.00)
0b.gapcat2#2.agecat#1b.educ#1.lowincome	0.72
	(0.50)
0b.gapcat2#2.agecat#2.educ#0b.lowincome	0.15***
	(0.04)
0b.gapcat2#2.agecat#2.educ#1.lowincome	1.52***
	(0.54)
0b.gapcat2#2.agecat#3.educ#0b.lowincome	0.38***
	(0.05)
0b.gapcat2#2o.agecat#3o.educ#1o.lowincome	0.00
	(0.00)
1.gapcat2#0b.agecat#1b.educ#0b.lowincome	-0.32
	(0.95)
1.gapcat2#0b.agecat#1b.educ#1.lowincome	-0.78
	(0.63)
1.gapcat2#0b.agecat#2.educ#0b.lowincome	-0.07
	(0.95)
1.gapcat2#0b.agecat#2.educ#1.lowincome	-1.37**
	(0.64)
1.gapcat2#0b.agecat#3.educ#0b.lowincome	0.64
	(0.95)
1o.gapcat2#0b.agecat#3o.educ#1o.lowincome	0.00
	(0.00)
1.gapcat2#1.agecat#1b.educ#0b.lowincome	0.81
	(0.79)
1.gapcat2#1.agecat#1b.educ#1.lowincome	0.03
	(0.34)
1.gapcat2#1.agecat#2.educ#0b.lowincome	0.88
	(0.79)
1.gapcat2#1.agecat#2.educ#1.lowincome	-0.08
	(0.36)
1.gapcat2#1.agecat#3.educ#0b.lowincome	1.37*
	(0.79)
1o.gapcat2#1o.agecat#3o.educ#1o.lowincome	0.00
	(0.00)
1.gapcat2#2.agecat#1b.educ#0b.lowincome	-0.41***
	(0.10)
1.gapcat2#2.agecat#1b.educ#1.lowincome	-0.82
	(0.71)
1.gapcat2#2.agecat#2.educ#0b.lowincome	-0.24***
	(0.09)
1o.gapcat2#2o.agecat#2o.educ#1o.lowincome	0.00
	(0.00)
1o.gapcat2#2o.agecat#3o.educ#0b.lowincome	0.00
	(0.00)
1o.gapcat2#2o.agecat#3o.educ#1o.lowincome	0.00
	(0.00)
0b.gapcat2#0b.agecat#0b.pref_work	0.00
	(0.00)
0b.gapcat2#0b.agecat#1.pref_work	0.18***
	(0.07)
0b.gapcat2#1o.agecat#0b.pref_work	0.00
	(0.00)
0b.gapcat2#1.agecat#1.pref_work	0.44***
	(0.03)
0b.gapcat2#2o.agecat#0b.pref_work	0.00
	(0.00)
0b.gapcat2#2.agecat#1.pref_work	0.44***
	(0.04)
1.gapcat2#0b.agecat#0b.pref_work	-1.02
	(1.01)
1.gapcat2#0b.agecat#1.pref_work	-0.57
	(1.01)
1.gapcat2#1.agecat#0b.pref_work	-3.12***
	(0.83)
1.gapcat2#1.agecat#1.pref_work	-2.42***
	(0.83)
1.gapcat2#2.agecat#0b.pref_work	-0.59***
	(0.06)
1o.gapcat2#2o.agecat#1o.pref_work	0.00
	(0.00)
0b.gapcat2#0b.agecat#0b.kids1	0.00
	(0.00)
0b.gapcat2#0b.agecat#1.kids1	0.01
	(0.04)
0b.gapcat2#1o.agecat#0b.kids1	0.00
	(0.00)
0b.gapcat2#1.agecat#1.kids1	-0.12***
	(0.03)
0b.gapcat2#2o.agecat#0b.kids1	0.00
	(0.00)
0b.gapcat2#2.agecat#1.kids1	0.16***
	(0.05)
1.gapcat2#0b.agecat#0b.kids1	0.10*
	(0.05)
1o.gapcat2#0b.agecat#1o.kids1	0.00
	(0.00)
1.gapcat2#1.agecat#0b.kids1	0.08**
	(0.03)
1o.gapcat2#1o.agecat#1o.kids1	0.00
	(0.00)
1.gapcat2#2.agecat#0b.kids1	-0.23***
	(0.06)
